City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,weather Description
0,Rikitea,PF,-23.1203,-134.9692,73.35,77,1,18.86,clear sky
1,Oussouye,SN,12.485,-16.5469,80.69,84,100,5.77,overcast clouds
2,Awjilah,LY,29.1081,21.2869,80.51,47,0,7.56,clear sky
3,Tuktoyaktuk,CA,69.4541,-133.0374,48.2,81,75,17.27,broken clouds
4,Tilichiki,RU,60.4667,166.1,54.45,93,100,7.2,overcast clouds
5,Ushuaia,AR,-54.8,-68.3,37.06,87,100,12.66,light rain
6,Albany,US,42.6001,-73.9662,78.64,44,27,4.18,scattered clouds
7,Ati,TD,13.2154,18.3353,79.92,74,97,5.91,light rain
8,Bluff,NZ,-46.6,168.3333,50.81,74,88,5.68,overcast clouds
9,Partizanskoye,RU,55.5006,94.39,50.74,90,9,8.12,clear sky
10,Mascote,BR,-15.5631,-39.3025,62.92,89,51,1.66,broken clouds
11,Saint George,US,37.1041,-113.5841,93.94,41,40,10.0,thunderstorm
12,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.27,73,1,17.09,clear sky
13,Castro,BR,-24.7911,-50.0119,57.29,69,2,4.09,clear sky
14,Busselton,AU,-33.65,115.3333,57.13,75,100,14.97,overcast clouds
15,Oranjemund,NA,-28.55,16.4333,52.12,79,97,10.92,overcast clouds
16,Waipawa,NZ,-41.4122,175.5153,50.18,69,100,1.59,overcast clouds
17,Moose Factory,CA,51.2585,-80.6094,66.2,48,0,6.91,clear sky
18,Veinticinco De Mayo,AR,-35.4323,-60.1727,65.98,76,100,3.0,overcast clouds
19,Punta Arenas,CL,-53.15,-70.9167,39.31,81,40,23.02,scattered clouds
20,Mataura,NZ,-46.1927,168.8643,50.49,70,95,3.4,overcast clouds
21,Namatanai,PG,-3.6667,152.4333,81.43,74,100,3.44,overcast clouds
22,Chernitsyno,RU,51.5074,36.051,71.08,79,100,10.0,overcast clouds
23,Marawi,PH,7.9986,124.2928,70.39,86,100,4.56,light rain
24,Arraial Do Cabo,BR,-22.9661,-42.0278,70.0,74,7,27.2,clear sky
25,Barrow,US,71.2906,-156.7887,37.42,87,100,10.36,overcast clouds
26,Kapaa,US,22.0752,-159.319,84.18,73,40,12.66,scattered clouds
27,Sitka,US,57.0531,-135.33,58.89,88,100,11.5,light rain
28,Cabo San Lucas,MX,22.8909,-109.9124,93.61,70,40,10.36,scattered clouds
29,Shetpe,KZ,44.1667,52.1167,84.04,20,5,3.56,clear sky
30,Bredasdorp,ZA,-34.5322,20.0403,48.96,58,97,3.2,overcast clouds
31,Guerrero Negro,MX,27.9769,-114.0611,82.2,53,9,15.77,clear sky
32,Tura,IN,25.5198,90.2201,73.63,91,97,5.44,light rain
33,Atuona,PF,-9.8,-139.0333,77.22,67,2,19.91,clear sky
34,Belyy Yar,RU,53.6039,91.3903,62.49,72,0,11.18,clear sky
35,Tocopilla,CL,-22.092,-70.1979,59.5,74,36,9.78,scattered clouds
36,Cape Town,ZA,-33.9258,18.4232,50.92,77,20,5.01,few clouds
37,Chala,TZ,-7.5833,31.2667,60.6,32,9,4.23,clear sky
38,Voznesenye,RU,61.0106,35.4781,60.76,77,17,2.06,few clouds
39,Ostrovnoy,RU,68.0531,39.5131,47.88,88,30,9.57,scattered clouds
40,Butaritari,KI,3.0707,172.7902,81.55,78,48,14.58,light rain
41,Adrar,MR,20.5022,-10.0711,98.15,20,17,9.95,few clouds
42,Port Lincoln,AU,-34.7333,135.8667,53.13,84,97,4.59,overcast clouds
43,Torbay,CA,47.6666,-52.7314,71.28,95,100,8.05,mist
44,Thompson,CA,55.7435,-97.8558,77.16,33,20,4.61,few clouds
45,Pozo Colorado,PY,-23.4923,-58.7972,88.0,30,8,10.54,clear sky
46,Jamestown,US,42.097,-79.2353,74.79,42,75,6.91,broken clouds
47,Hobart,AU,-42.8794,147.3294,52.27,95,75,6.91,light intensity shower rain
48,Avarua,CK,-21.2078,-159.775,71.65,78,75,5.75,broken clouds
49,Batagay-Alyta,RU,67.8006,130.4114,53.67,71,6,3.18,clear sky
50,Setermoen,NO,68.861,18.3486,54.43,73,97,4.12,overcast clouds
51,Bengkulu,ID,-3.8004,102.2655,76.44,89,100,2.86,overcast clouds
52,Atlantic City,US,39.3643,-74.4229,77.02,59,0,9.22,clear sky
53,Grand-Santi,GF,4.25,-54.3833,72.72,98,92,2.62,overcast clouds
54,Palmas Bellas,PA,9.2319,-80.0867,81.0,87,100,2.01,overcast clouds
55,Mar Del Plata,AR,-38.0023,-57.5575,56.08,94,0,20.0,clear sky
56,Port Hardy,CA,50.6996,-127.4199,62.78,94,100,4.61,overcast clouds
57,Camana,PE,-16.6228,-72.7111,60.26,79,74,5.88,broken clouds
58,Arona,ES,28.0996,-16.681,68.99,80,0,10.36,clear sky
59,Touros,BR,-5.1989,-35.4608,75.63,68,67,16.8,broken clouds
60,Leningradskiy,RU,69.3833,178.4167,39.07,72,91,6.58,overcast clouds
61,San Fernando,PH,15.0286,120.6898,80.33,89,100,2.3,overcast clouds
62,Broome,US,42.2506,-75.833,77.47,45,100,3.44,overcast clouds
63,Beira,MZ,-19.8436,34.8389,66.29,88,0,9.22,clear sky
64,Kavaratti,IN,10.5669,72.642,80.85,79,100,10.69,overcast clouds
65,Kavieng,PG,-2.5744,150.7967,82.44,69,74,7.09,broken clouds
66,Milkovo,RU,54.7167,158.6167,58.93,90,100,3.58,overcast clouds
67,Cidreira,BR,-30.1811,-50.2056,61.02,93,93,13.69,overcast clouds
68,Axim,GH,4.8699,-2.2405,75.11,86,95,13.49,light rain
69,Maceio,BR,-9.6658,-35.7353,74.64,83,75,3.44,broken clouds
70,Salalah,OM,17.0151,54.0924,73.49,100,100,10.36,drizzle
71,Upernavik,GL,72.7868,-56.1549,43.75,75,100,5.01,overcast clouds
72,Charagua,BO,-19.8,-63.2167,76.96,49,4,10.63,clear sky
73,Rossosh,RU,51.1209,38.5116,67.28,54,46,9.55,scattered clouds
74,Surt,LY,31.2089,16.5887,86.99,39,0,4.97,clear sky
75,Krumovgrad,BG,41.4667,25.65,62.96,86,100,2.51,overcast clouds
76,Hithadhoo,MV,-0.6,73.0833,82.27,73,98,3.91,overcast clouds
77,Katghora,IN,22.5,82.55,75.02,96,82,3.44,moderate rain
78,East London,ZA,-33.0153,27.9116,55.11,63,50,31.85,light rain
79,Pisco,PE,-13.7,-76.2167,62.65,77,0,12.66,clear sky
80,Road Town,VG,18.4167,-64.6167,84.24,84,40,9.22,scattered clouds
81,Saskylakh,RU,71.9167,114.0833,50.5,60,2,1.63,clear sky
82,Sendhwa,IN,21.6833,75.1,72.81,94,100,12.88,overcast clouds
83,Yamada,JP,39.4667,141.95,74.34,88,95,1.36,overcast clouds
84,Fukue,JP,32.6881,128.8419,84.56,89,75,10.36,broken clouds
85,Caravelas,BR,-17.7125,-39.2481,67.73,77,0,5.26,clear sky
86,Qaanaaq,GL,77.484,-69.3632,40.51,87,99,11.03,overcast clouds
87,Georgetown,MY,5.4112,100.3354,80.89,82,40,3.44,thunderstorm
88,Colares,PT,38.7992,-9.4469,69.76,77,20,21.0,few clouds
89,Itarema,BR,-2.9248,-39.9167,77.88,74,49,14.9,scattered clouds
90,Kununurra,AU,-15.7667,128.7333,69.78,64,30,1.14,scattered clouds
91,Kruisfontein,ZA,-34.0033,24.7314,47.88,64,83,16.04,light rain
92,Hermanus,ZA,-34.4187,19.2345,49.77,66,81,8.46,broken clouds
93,Tikrit,IQ,34.6071,43.6782,88.66,24,0,10.92,clear sky
94,Quepos,CR,9.4236,-84.1652,79.84,84,72,0.89,broken clouds
95,San Patricio,US,28.017,-97.5169,80.83,80,100,17.07,light rain
96,Vila Franca Do Campo,PT,37.7167,-25.4333,75.61,93,18,4.72,few clouds
97,Buraydah,SA,26.326,43.975,91.85,17,7,8.84,clear sky
98,Honiara,SB,-9.4333,159.95,84.61,67,8,5.7,clear sky
99,Welkom,ZA,-27.9864,26.7066,40.08,47,0,7.83,clear sky
100,Puerto Ayora,EC,-0.7393,-90.3518,69.55,95,96,5.99,overcast clouds
101,La Paz,BO,-16.5,-68.15,55.38,16,20,6.91,few clouds
102,Kokstad,ZA,-30.5472,29.4241,39.83,53,8,13.47,clear sky
103,Tasiilaq,GL,65.6145,-37.6368,41.16,64,73,3.58,broken clouds
104,Thinadhoo,MV,0.5333,72.9333,82.42,74,92,6.49,overcast clouds
105,Luderitz,NA,-26.6481,15.1594,54.0,62,32,11.88,scattered clouds
106,High Level,CA,58.5169,-117.136,66.31,88,75,8.05,broken clouds
107,Ancud,CL,-41.8697,-73.8203,42.89,68,39,16.8,scattered clouds
108,Luanda,AO,-8.8368,13.2343,66.2,94,28,2.3,scattered clouds
109,Bambous Virieux,MU,-20.3428,57.7575,69.22,94,75,12.66,light rain
110,The Valley,AI,18.217,-63.0578,84.06,89,20,5.75,few clouds
111,Namibe,AO,-15.1961,12.1522,60.98,90,25,7.61,scattered clouds
112,Hilo,US,19.7297,-155.09,87.28,71,20,13.8,few clouds
113,Hemsedal,NO,60.8629,8.5534,59.16,74,100,6.15,overcast clouds
114,Hasaki,JP,35.7333,140.8333,82.29,84,87,2.21,overcast clouds
115,Tigil,RU,57.8,158.6667,62.17,87,100,6.58,overcast clouds
116,Lieksa,FI,63.3167,30.0167,60.6,83,69,4.99,broken clouds
117,Kaitangata,NZ,-46.2817,169.8464,47.61,72,88,2.71,overcast clouds
118,Vaini,TO,-21.2,-175.2,73.56,83,75,13.8,broken clouds
119,Balsas,BR,-7.5325,-46.0356,81.75,29,8,7.27,clear sky
120,Chimbote,PE,-9.0853,-78.5783,63.37,82,6,13.67,clear sky
121,Cherskiy,RU,68.75,161.3,45.68,66,12,6.51,few clouds
122,Ranong,TH,9.9658,98.6348,76.93,86,69,5.82,broken clouds
123,Falun,SE,60.6036,15.626,64.81,83,94,2.93,overcast clouds
124,Quatre Cocos,MU,-20.2078,57.7625,69.1,77,82,13.6,light rain
125,Vrangel,RU,42.7297,133.0839,67.93,90,100,7.56,moderate rain
126,Macklin,CA,52.3334,-109.9348,80.94,37,55,10.29,broken clouds
127,Norden,DE,53.6,7.2,71.96,79,91,10.25,overcast clouds
128,Gamba,GA,-2.65,10.0,68.83,92,62,4.9,broken clouds
129,Laguna,US,38.421,-121.4238,103.33,14,0,4.61,clear sky
130,Hofn,IS,64.2539,-15.2082,47.89,73,71,11.45,broken clouds
131,Grand Gaube,MU,-20.0064,57.6608,69.39,74,75,5.01,broken clouds
132,Marienburg,PL,54.0359,19.0266,68.11,89,73,7.23,broken clouds
133,Dikson,RU,73.5069,80.5464,42.96,94,100,4.0,overcast clouds
134,Yerbogachen,RU,61.2767,108.0108,46.4,81,9,0.98,clear sky
135,Airai,TL,-8.9266,125.4092,60.19,62,21,3.62,few clouds
136,Kayerkan,RU,69.3497,87.7602,55.53,71,92,6.08,overcast clouds
137,Lavrentiya,RU,65.5833,-171.0,43.07,67,34,3.18,scattered clouds
138,Te Anau,NZ,-45.4167,167.7167,41.49,79,100,0.96,overcast clouds
139,Pa Sang,TH,18.5262,98.9394,77.2,92,99,2.89,overcast clouds
140,Atherton,GB,53.5237,-2.4935,73.78,69,99,1.01,overcast clouds
141,Aklavik,CA,68.2191,-135.0107,53.71,71,96,10.11,overcast clouds
142,Nikki,BJ,9.9401,3.2108,71.13,96,100,9.13,light rain
143,Freetown,SL,8.484,-13.2299,75.34,89,94,7.34,light rain
144,New Norfolk,AU,-42.7826,147.0587,51.93,81,93,1.01,light rain
145,Victoria,HK,22.2855,114.1577,84.96,86,41,3.0,scattered clouds
146,Padang,ID,-0.9492,100.3543,77.16,83,71,2.44,broken clouds
147,Barra Dos Coqueiros,BR,-10.9089,-37.0386,71.62,94,100,13.8,mist
148,Namanga,KE,-2.5433,36.7905,63.61,81,96,5.28,overcast clouds
149,Tuatapere,NZ,-46.1333,167.6833,47.98,68,99,4.9,overcast clouds
150,Beloha,MG,-25.1667,45.05,66.54,60,32,6.46,scattered clouds
151,Bandarbeyla,SO,9.4942,50.8122,76.1,84,93,28.39,overcast clouds
152,Lebu,CL,-37.6167,-73.65,46.02,78,78,14.5,broken clouds
153,Amlagora,IN,22.8333,87.3333,77.77,90,98,13.8,overcast clouds
154,At-Bashi,KG,41.1702,75.8106,59.72,69,34,3.67,scattered clouds
155,Borodino,RU,55.9106,94.8983,51.12,93,11,8.61,few clouds
156,Sivas,TR,39.7916,37.0019,61.43,77,20,2.3,few clouds
157,Kodiak,US,57.79,-152.4072,54.91,88,100,10.36,overcast clouds
158,Coahuayana,MX,18.7333,-103.6833,85.24,70,74,5.06,broken clouds
159,Hay River,CA,60.8156,-115.7999,80.58,50,20,9.22,few clouds
160,Christchurch,NZ,-43.5333,172.6333,50.32,86,100,8.05,overcast clouds
161,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,91,0,14.97,clear sky
162,Sayyan,YE,15.1718,44.3244,62.76,69,100,5.17,overcast clouds
163,Kasongo-Lunda,CD,-6.4667,16.8167,70.61,40,0,2.8,clear sky
164,Richards Bay,ZA,-28.783,32.0377,61.38,59,33,6.58,scattered clouds
165,Igrim,RU,63.1906,64.4162,41.29,81,31,6.04,scattered clouds
166,Sobolevo,RU,54.4299,31.8996,61.38,89,46,6.8,scattered clouds
167,Terrace,CA,54.5163,-128.6035,73.31,56,75,16.11,broken clouds
168,Jaciara,BR,-15.9653,-54.9683,80.82,27,1,4.0,clear sky
169,Geraldton,AU,-28.7667,114.6,48.61,93,0,13.8,clear sky
170,Opunake,NZ,-39.4556,173.8583,56.12,69,100,7.25,overcast clouds
171,Bethel,US,41.3712,-73.414,78.37,54,74,1.01,broken clouds
172,Borovsk,RU,55.2064,36.4861,62.69,76,39,3.04,scattered clouds
173,Gravdal,NO,68.1214,13.5031,52.97,71,100,8.43,overcast clouds
174,Monticello,US,45.3055,-93.7941,80.13,55,81,3.51,broken clouds
175,Pangkalanbuun,ID,-2.6833,111.6167,73.63,92,69,1.23,broken clouds
176,Tumaco,CO,1.7986,-78.8156,77.5,82,85,13.0,overcast clouds
177,Saint-Pierre,RE,-21.3393,55.4781,68.92,70,20,4.61,few clouds
178,Alice,US,27.7523,-98.0697,78.24,97,75,13.8,broken clouds
179,Plaza De Caisan,PA,8.7333,-82.8167,69.51,98,99,2.15,overcast clouds
180,Pedernales,DO,18.0384,-71.744,82.06,74,9,7.18,clear sky
181,Homer,US,59.6425,-151.5483,58.77,75,100,5.01,overcast clouds
182,Panguna,PG,-6.3164,155.4848,78.87,63,88,1.36,overcast clouds
183,Ayan,RU,56.45,138.1667,56.07,85,82,4.27,broken clouds
184,Sur,OM,22.5667,59.5289,88.21,58,62,10.98,broken clouds
185,Primorsk,UA,46.7348,36.3443,81.73,36,45,13.13,scattered clouds
186,Bardsir,IR,29.9227,56.5743,71.13,18,3,7.61,clear sky
187,Katsuura,JP,35.1333,140.3,82.6,83,75,14.72,broken clouds
188,Clyde River,CA,70.4692,-68.5914,41.23,93,40,4.61,scattered clouds
189,Tiksi,RU,71.6872,128.8694,44.83,87,61,4.56,broken clouds
190,Nueva Helvecia,UY,-34.3,-57.2333,66.6,83,21,14.61,few clouds
191,Chokurdakh,RU,70.6333,147.9167,49.15,48,9,8.12,clear sky
192,Yinchuan,CN,38.4681,106.2731,79.3,27,99,4.41,overcast clouds
193,Yellowknife,CA,62.456,-114.3525,77.56,33,0,11.5,clear sky
194,Faanui,PF,-16.4833,-151.75,78.89,75,33,14.94,light rain
195,Mezhdurechensk,RU,53.6942,88.0603,49.8,97,63,3.94,light rain
196,Ribeira Grande,PT,38.5167,-28.7,76.39,87,13,9.53,few clouds
197,Morgan City,US,29.6994,-91.2068,91.0,67,17,7.27,few clouds
198,Kieta,PG,-6.2167,155.6333,83.25,70,87,2.08,overcast clouds
199,North Bend,US,43.4065,-124.2243,77.23,86,0,20.71,clear sky
200,Tiznit,MA,29.5833,-9.5,74.88,56,0,2.17,clear sky
201,Khatanga,RU,71.9667,102.5,55.33,58,39,5.03,scattered clouds
202,Timmins,CA,48.4669,-81.3331,67.82,73,75,4.61,broken clouds
203,Porto Torres,IT,40.835,8.3972,78.98,78,0,6.87,clear sky
204,Bathsheba,BB,13.2167,-59.5167,83.01,83,75,9.22,broken clouds
205,San Cristobal,VE,7.7669,-72.225,73.58,95,38,4.92,scattered clouds
206,Solnechnyy,RU,50.7214,136.6319,64.96,80,94,1.3,overcast clouds
207,Ponta Do Sol,PT,32.6667,-17.1,73.0,80,0,4.23,clear sky
208,Longyearbyen,SJ,78.2186,15.6401,44.44,81,75,4.61,broken clouds
209,Bhabua,IN,25.05,83.6167,78.76,87,93,25.26,overcast clouds
210,Saldanha,ZA,-33.0117,17.9442,41.05,64,5,8.77,clear sky
211,Huarmey,PE,-10.0681,-78.1522,63.86,81,3,12.37,clear sky
212,College,US,64.8569,-147.8028,67.21,67,75,0.0,broken clouds
213,Chililabombwe,ZM,-12.3648,27.8229,62.37,32,17,3.67,few clouds
214,Bulaevo,KZ,54.9056,70.4439,49.62,81,6,7.58,clear sky
215,Abbeville,FR,50.1,1.8333,70.5,71,100,5.7,overcast clouds
216,Cayenne,GF,4.9333,-52.3333,81.09,1,0,2.3,clear sky
217,Port Alfred,ZA,-33.5906,26.891,55.94,65,87,33.64,light rain
218,Borba,BR,-4.3878,-59.5939,80.56,62,78,1.68,light rain
219,Concarneau,FR,47.875,-3.9225,64.69,92,69,7.27,broken clouds
220,Noumea,NC,-22.2763,166.4572,80.58,99,100,8.41,overcast clouds
221,Zhob,PK,31.3411,69.4481,72.77,79,34,1.25,scattered clouds
222,Chuy,UY,-33.6971,-53.4616,58.21,89,0,10.16,clear sky
223,Zabol,AF,32.25,67.25,70.36,65,100,5.57,overcast clouds
224,Emilio Carranza,MX,19.9711,-96.6114,85.77,70,100,14.83,overcast clouds
225,Port Elizabeth,ZA,-33.918,25.5701,50.31,85,75,16.11,light rain
226,Carnarvon,AU,-24.8667,113.6333,66.38,70,84,7.38,broken clouds
227,Katete,UG,-0.7818,29.7544,63.45,87,90,2.33,light rain
